Anmeldedatum;Abgabedatum;JahrAkademisch;Art;Grad;Sprache;Titel;Abstract
27.04.95;27.11.95;1995;intern;Diplom;DE;Entwurf und Implementierung einer offenen Schnittstelle zum Repository eines CASE-Tools mittels der Standard-Skript-Sprache TCL;
01.05.95;30.09.95;1995;intern;Diplom;DE;Einführung der digitalen Dokumentenannahme und -verarbeitung in einem Kleinbetrieb der Druckindustrie;
04.05.95;30.10.95;1995;intern;Diplom;DE;Portierung der hardwarenahen Komponenten des Echtzeitbetriebssystems EUROS auf die Alpha-Architektur;
11.05.95;22.11.95;1995;intern;Diplom;DE;"Erstellung eines aktiven Kommunikationsmoduls mit ""Gateway""-Eigenschaften im Prozeßleitbereich unter OSF/1";
01.07.95;01.12.95;1995;extern;Diplom;DE;Auswahl und Implementierung von Kommunikationswerkzeugen zum Datenaustausch zwischen Windows- und UNIX-Systemen. Einsatz der Werkzeuge im Rahmen eines BDE-Systems;
01.07.95;30.09.95;1995;intern;Diplom;DE;"Sinnentstellung bei der Übersetzung englischsprachiger Fachbücher ins deutsche und deren Ursachen. Eine linguistische Untersuchung für Informatiker ""Übergehen Sie die Elementfunktion um die Ikone ...""";
05.07.95;05.12.95;1995;intern;Diplom;DE;Entwicklung eines plattformunabhängigen 3964R-Treibers für Windows-NT;
20.07.95;20.12.95;1995;intern;Diplom;DE;RSA-Schlüsselgenerierung im Siemens Chipkartenprozessor SLE 44 C 200;
20.07.95;20.12.95;1995;intern;Diplom;DE;Konzeption und Erstellung einer Klassenbibliothek für Benutzeroberflächen in der Automatisierungstechnik;
01.08.95;01.01.96;1995;intern;Diplom;DE;Parallelverarbeitung im Workstation-Verbund. Implementierung ausgewählter Beispielanwendungen mit Hilfe geeigneter Werkzeuge;
01.08.95;30.11.95;1995;extern;Diplom;DE;Konzeption und Modellierung eines Unternehmens-Führungs-Systems (UFS) für ein Dienstleistungsunternehmen und Realisierung der Teilkomponenten Mitarbeiter- und Projektverwaltung;
15.08.95;15.01.96;1995;intern;Diplom;DE;Telearbeit in einem Industriebetrieb der Elektrobranche - Einsatzmöglichkeiten, technische, organisatorische und rechtliche Rahmenbedingungen;
15.08.95;15.01.96;1995;intern;Diplom;DE;Notfallkonzept zur Steigerung der Verfügbarkeit einer bestehenden IT/DV-Infrastruktur innerhalb der SAG, basierend auf Compaq-HW mit MS-NTAS Betriebssystem;
18.08.95;18.01.96;1995;intern;Diplom;DE;Erstellung und Einführung eines grafisch-interaktiven Systems zur Unterstützung von Administration und Controlling der Unterschriftenregelung;
15.09.95;15.04.96;1995;intern;Diplom;DE;Analyse, Design und Implementierung des Bereichs Ausschreibung eines AVA-Programms mit objektorientierten Methoden;
19.09.95;19.02.96;1995;extern;Diplom;DE;Erstellung eines Bibliothekskonzeptes zur Verwaltung versionierter, über OLE-Technik verbundener Objekte. Realisierung der Basisfunktionalität des Konzeptes basierend auf OLE 2;
06.10.95;06.03.96;1996;intern;Diplom;DE;Einsatzmöglichkeit von kooperativen Systemen am Beispiel eines Unternehmens im Maschinenbau;
11.10.95;11.03.96;1996;extern;Diplom;DE;Arbeitstitel: Darstellung der Information neuronaler Netze in chemischen Anwendungen;
11.10.95;11.03.96;1996;extern;Diplom;DE;Kern eines Simulationswerkzeuges für AWL-Programmstrukturen und Tasks nach SPS-Norm IEC 1131;
13.10.95;13.03.96;1996;extern;Diplom;DE;Umsetzung eines Logistik Controlling Verfahrens von einer lokalen PC-Version auf eine Client Server Umgebung unter SAP R/3;
13.10.95;13.03.96;1996;extern;Diplom;DE;Überarbeitung des Einkaufscontrollings und DV-technische Realisierung mittels SAP R/3 bei einem Konzernunternehmen;
13.10.95;13.03.96;1996;extern;Diplom;DE;Zielvereinbarungen und Prozeßkenngrößen. Eine Maßnahme zur Einführung von Total Quality Management;
16.10.95;15.04.96;1996;intern;Diplom;DE;Konzeption und Realisierung einer Netzterminierung als Bestandteil des graphischen Leitstandes SIFLEX;
02.11.95;31.03.96;1996;intern;Diplom;DE;Ablösung des DESTI UNIX-Verfahrens durch eine Client-Server Applikation;
06.11.95;25.04.96;1996;extern;Diplom;DE;Adaptive Parametrierung einer Image-Hardwarepipeline;
15.11.95;15.04.96;1996;extern;Diplom;DE;Konzept für das Management von Online-Diensten im Internet;
15.11.95;10.06.96;1996;intern;Diplom;DE;Konzeption und Realisierung einer Datenbankanwendung für die Kundenbetreuung am Beispiel der Firma S.E.P.P.;
20.11.95;19.04.96;1996;extern;Diplom;DE;Einrichtung einer Datenbasis für die Hardware-Dokumentation des Netzwerks einer Großfirmenniederlassung;
01.12.95;31.05.96;1996;intern;Diplom;DE;Neuorientierung des Management-Accounting in einer Bank;
01.12.95;30.04.96;1996;extern;Diplom;DE;Entwurf und Teilimplementierung von Backup- und Restore-Verfahren für eine Festplatte auf DRAM-Basis;
01.12.95;01.07.96;1996;intern;Diplom;DE;Analyse, Design und Implementierung der Bereiche Vergabe und Kostenkontrolle eines AVA-Programmes mit objektorientierten Methoden;
06.12.95;06.05.96;1996;intern;Diplom;DE;Datenbanken in parallelen Rechnerarchitekturen;
07.12.95;14.03.96;1996;intern;Diplom;DE;Die Bedienoberfläche für ein System von Kfz-Testgeräten - Simulation und Entwicklung eines objektorientierten Modells;
11.12.95;04.06.96;1996;intern;Diplom;DE;Konzeption und Realisierung einer computerunterstützten Unterrichtseinheit für HTML auf der Basis von Asymetri Todbock;
21.12.95;20.05.96;1996;intern;Diplom;DE;Datenintegration in der Dermatologischen Universitätsklinik Erlangen: Migration von Insellösungen zu einer integrierten Datenbank-Anwendung (Arbeitstitel).;
08.01.96;14.05.96;1996;intern;Diplom;DE;Einführung eines kundenorientierten Qualitätsmanagements in Verkauf und Service einer Unternehmung der Bürotechnik-Branche;
23.01.96;23.08.96;1996;intern;Diplom;DE;Fraktale Bildkompression. Entwurf, Realisierung und Vergleich von Methoden der Bildcodierung und Decodierung;
31.01.96;02.07.96;1996;extern;Diplom;DE;Ein Fachkonzept zur Integration der bestehenden DV-Insellösungen für CAD und PPS der Firma Hydrometer GmbH;
01.02.96;01.07.96;1996;intern;Diplom;DE;Algorithmen zur automatischen Regelinduktion aus Tabellenwissen;
05.02.96;05.09.96;1996;extern;Diplom;DE;Erstellung eines Software-Assistenten zur Unterstützung bei der Projektierung von Netzwerksystemen in der Automatisierungstechnik;
01.03.96;01.10.96;1996;intern;Diplom;DE;Entwicklung eines Werkzeugs zur Selektion von Analysedaten  - formale Datenbeschreibung, Vorübersetzung, Interpretation;
26.03.96;26.10.96;1996;extern;Diplom;DE;Entwurf eines Entwicklungskonzeptes zur Erstellung von Client-/Server-Datenbankanwendungen mit CA OpenRoad für den Bereich Software Factory/Tool Support;
11.04.96;11.01.97;1996;intern;Diplom;DE;Erstellen eines Outsourcing-Konzeptes und Durchführung einer Angebotsphase;
12.04.96;12.01.97;1996;extern;Diplom;DE;Spezifikation und Teilimplementierung eines Produktionsleitstandes im Bereich Tabakvorbereitung;
12.04.96;12.01.97;1996;intern;Diplom;DE;Erstellen eines interaktiven Telegramminterpreters zur Simulation von Telegrammen in einem bestehenden Kommunikationssystem. Erarbeiten der nötigen Funktionen, Konzepterstellung, Realisierung mit Visu;
12.04.96;12.01.97;1996;intern;Diplom;DE;OLE als Object Request Broker, demonstriert an einem Beispiel für die Lehre;
12.04.96;12.03.97;1996;intern;Diplom;DE;Entwicklung medizinspezifischer Standardkomponenten auf der Basis von OLE;
12.04.96;12.01.97;1996;intern;Diplom;DE;DV-technische Unterstützung einer effektiven Werksinstandhaltung unter Einsatz von Datenbanken am Beispiel eines Werkes für medizinische Geräte;
15.04.96;11.10.96;1996;intern;Diplom;DE;"Entwurf und Implementierung einer Speicherverwaltung mit ""Garbage-Collector""";
06.05.96;30.09.96;1996;intern;Diplom;DE;Konzept über den Einsatz neuer Medien für einen regionalen Fernsehsender;
21.05.96;21.10.96;1996;intern;Diplom;DE;Vom gesprochenen Satz zum SQL-Befehl: semantische Schlüsselwortanalyse natürlich sprachlicher Datenbankabfragen im Verbund mit einem Spracherkennungssystem;
17.06.96;17.03.97;1996;extern;Diplom;DE;"Entwicklung eines Werkzeugs zur Querübersetzung der Sprache ""Strukturierter Text"" in die Sprache ""Anweisungsliste"" für die Programmierung von SPS-Steuerungen nach IEC 1131-3 Base-Level";
04.07.96;29.11.96;1996;intern;Diplom;DE;Analyse eines bestehenden Programmsystems hinsichtlich konzeptioneller und struktureller Optimierung;
08.07.96;30.11.96;1996;extern;Diplom;DE;Entwurf und Implementierung eines Testdatengenerators für C++ Klassen;
15.07.96;15.12.96;1996;intern;Diplom;DE;Zertifizierung nach DIN EN 9001. Einführung und EDV-Unterstützung in einem kunststoffverarbeitenden Betrieb;
23.07.96;22.12.96;1996;extern;Diplom;DE;Anwendung von Methoden und Techniken des Compilerbaus auf natürlich-sprachliche Texte zur Erkennung formal definierter Textstrukturen in juristischen Texten;
25.07.96;25.12.96;1996;intern;Diplom;DE;"Authentifizierung von Internet/Intranet Anwendern - Lösungsansätze und Realisierung mittels Chipkarte unter Verwendung von ""Java""";
26.07.96;26.12.96;1996;extern;Diplom;DE;Definition und Realisierung einer generischen, objektorientierten Datenbank-Schnittstelle für ein ICE-Fahrgastinformationssystem;
27.08.96;27.01.97;1996;intern;Diplom;DE;Organisations- und DV-Konzept für die Kundenbetreuung eines Dienstleistungsunternehmens;
02.09.96;02.02.97;1996;intern;Diplom;DE;HTML-basiertes System zur kontrollierten Strukturierung und Workflowüberwachung technischer Dokumente;
15.09.96;30.11.96;1996;intern;Diplom;EN;Aeronautical Information System;
30.09.96;12.04.97;1996;extern;Diplom;DE;Entwurf und Realisierung eines Monitors und Debuggers für einen Digitalen Signalprozessor;
02.10.96;03.03.97;1997;extern;Diplom;DE;Entwicklung einer Netzwerk-Komponente auf TCP/IP- und Ethernet-Basis für das Echtzeit-Betriebssystem EUROS;
08.10.96;07.03.97;1997;intern;Diplom;DE;Objektorientiertes Testen von Frameworks und Komponenten;
13.10.96;14.05.97;1997;intern;Diplom;DE;Optimierung der grundlegenden Arbeitsabläufe einer Volkshochschule mit einem EDV-System am Beispiel der VHS-Forchheim. Teilsystem 2: Teilnahme und Abrechnung;
13.10.96;14.05.97;1997;intern;Diplom;DE;Optimieirung der grundlegenden Arbeitsabläufe einer Volkshochschule mit einem EDV-System am Beispiel der VHS-Forchheim. Teilsystem 1: Stammdatenverwaltung und Kursplanung;
14.10.96;14.05.97;1997;extern;Diplom;DE;Entwicklung eines Streams Moduls, welches das IEC 870 - 5 - 101 Protokoll auf Verbindungsebene unter SUN Solaris 2.4 realisiert;
14.10.96;14.03.97;1997;extern;Diplom;DE;Optimierung des Echtzeit-Verhaltens der File-Systeme im MS-DOS- und EUROS-Format für das Echtzeitbetriebssystem EUROS;
14.10.96;14.03.97;1997;extern;Diplom;DE;Automatische Erstellung von Quellcode für grafische Benutzeroberflächen unter dem X-Window-System IMOTIF aus Resourc-Files unter MS-Windows;
20.10.96;14.05.97;1997;intern;Diplom;DE;Transaktionsmanagement in objektorientierten Datenbank-Anwendungen am Beispiel eines AVA-Programms;
21.10.96;21.03.97;1997;extern;Diplom;DE;Konzept für einen Informationsservice auf Intranetbasis;
04.11.96;04.04.97;1997;extern;Diplom;DE;Konzeption und Einrichtung eines Applikationsservers für GT;
04.11.96;03.04.97;1997;intern;Diplom;DE;Meßtechnische und rechnerische Bestimmung schalltechnischer Kennwerte in der Bauakustik;
05.11.96;05.05.97;1997;extern;Diplom;DE;Portierung der hardwarenahen Komponenten des Echtzeitbetriebssystems EUROS auf die DEC-Alpha-Mikroprozessor-Architektur;
05.11.96;05.05.97;1997;extern;Diplom;DE;Portierung der hardwarenahen Komponenten des Echtzeitbetriebssystems EUROS auf die Mikrokontroller-Familie C 166 für eingebettete Systeme;
07.11.96;07.04.97;1997;intern;Diplom;DE;Wavelet Bildkompression - Entwurf, Realisierung und Vergleich von Methoden der Bildcodierung und -decodierung;
13.11.96;13.04.97;1997;intern;Diplom;DE;"Entwurf und Implementierung eines ""OLE for Process Control"" (OPC) Server";
15.11.96;15.04.97;1997;intern;Diplom;DE;Verbesserung der unternehmensinternen Informationsversorgung durch EDV-gestütztes Dokumentenmanagement mit Langzeitarchivierung;
18.11.96;16.05.97;1997;extern;Diplom;DE;Entwicklung eines Pentium TM- und MMX TM - optimierten ActiveMovieTM Software Filters für die Echtzeitkomprimierung und Dekomprimierung von Video-Datenströmen;
27.11.96;14.05.97;1997;extern;Diplom;DE;Ein Informationssystem für ein Sprachlabor;
28.11.96;27.06.97;1997;extern;Diplom;DE;Konzept für die Geschäftsprozeßoptimierung der Provisionsbearbeitung bei einem Versicherungskonzern;
05.12.96;05.03.97;1997;extern;Diplom;DE;Reengeneering eines QS-Werkzeuges für eine grafische Benutzeroberfläche;
19.12.96;19.05.97;1997;intern;Diplom;DE;Erstellung eines Konzepts zur Stammdatenhaltung konfigurierbarer Erzeugnisse in SAP R/3;
13.01.97;13.06.97;1997;intern;Diplom;DE;Patientenregistrierung in einem medizinischen SW-System:  Realisierung der Anwendungslogik als DCOM-Komponente;
15.01.97;15.05.97;1997;extern;Diplom;DE;Arrival Manager-Anwendung des objektorientierten Ansatzes beim Requirements-Engineering verbunden mit einer Methodendiskussion;
02.02.97;02.07.97;1997;intern;Diplom;DE;Objektorientierte Modellierung von Softwarearchitekturen. Konzepte für die inhaltliche Ausgestaltung und Formen der Beschreibungen;
24.02.97;24.09.97;1997;intern;Diplom;DE;Konzeption (und Realisierung) eines Verkaufsterminals für Kino-Eintrittskarten mit Platzreservierung unter Verwendung von Chipkarten für die Bezahlung (elektronische Geldbörse);
03.03.97;03.08.97;1997;intern;Diplom;DE;Erarbeitung eines Konzeptes zur Abrechnung des Lizenzentgeltes für Verpackungen innerhalb der Standardsoftware R/3 von SAP;
15.03.97;01.07.97;1997;intern;Diplom;DE;Der Weg zum Niedrigenergiehaus - Entwicklung von Varianten;
16.03.97;01.07.97;1997;intern;Diplom;DE;Messung passiver solarer Energiegewinne;
17.03.97;15.09.97;1997;intern;Diplom;DE;Konzeption und Umsetzung eines Werkzeugs zur Anonymisierung von Datenbank-Inhalten mit dem Ziel der Erzeugung von Testdaten;
17.03.97;18.08.97;1997;intern;Diplom;DE;Konzeption und Realisierung eines Programms zur Sicherung der Aufwärtskompatibilität eines Projektierungssystems;
01.04.97;01.09.97;1997;extern;Diplom;DE;Entwicklung eines Protokollanalysators für das mobile Datenträgersystem MOBY-L;
10.04.97;10.09.97;1997;intern;Diplom;DE;Untersuchung und Bewertung von SAP Business Workflow, einem Zusatztool des SAP R/3-Systems;
11.04.97;10.09.97;1997;extern;Diplom;DE;Moderne Methoden des Requirements Engineering - Die Vorgehensweise BRE9000;
14.04.97;14.01.98;1997;extern;Diplom;DE;Implementierung eines Datentransfers mittels TCP/IP unter einem Multitasking-Kernel für ein Kassenterminal;
16.04.97;16.09.97;1997;intern;Diplom;DE;Multidimensionale Optimierung mit Hilfe Genetischer Algorithmen und Evolutionssstrategien am Beispiel der Stundenplanerstellung für Schulen;
16.04.97;16.07.97;1997;extern;Diplom;DE;Untersuchung der Wärmeabgabe von Rohrleitungsarmaturen der Heiz- und Warmwasseranlagen bis DN 32;
30.04.97;30.09.97;1997;intern;Diplom;DE;Entwurf und Entwicklung eines Frühwarnsystems zur systematischen Überwachung von frei konfigurierbaren EDV-Systemen und automatischen Beseitigung von Störungen;
01.05.97;30.11.97;1997;intern;Diplom;DE;Optimierung eines Fuzzy-Reglers durch ein neuronales Netz am Beispiel eines mechanischen Stabilitätsproblems;
23.06.97;23.01.98;1997;intern;Diplom;DE;Entwurf und Realisierung eines Suchsystems für elektronische Bauelemente mittels des EDM-Systems CADIM;
01.07.97;28.11.97;1997;intern;Diplom;DE;Konzeption und Realisierung eines Multiprojektplanungssystems;
24.07.97;19.12.97;1997;intern;Diplom;DE;Stärkung der Schlagkraft des Unternehmens am Absatzmarkt durch geeignete EDV-Unterstützung in Marketing und Vertrieb;
29.07.97;29.12.97;1997;intern;Diplom;DE;Wareneingangsplanung;
30.09.97;28.02.98;1997;extern;Diplom;DE;Entwurf und Realisierung eines Änderungsmanagement-Systems für Softwareentwicklung als Intranetanwendung;
30.09.97;28.02.98;1997;intern;Diplom;DE;Entwurf und Realisierung eines objektorientierten Termin- und Ressourcenplanungssystems unter besonderer Berücksichtigung geeigneter Optimierungsalgorithmen;
02.10.97;02.03.98;1998;intern;Diplom;DE;Realisierung einer wiederverwendbaren Softwarekomponente zur Visualisierung von Hierarchien mit Java Beans und ihre Verwendung in einer SGML-Datenbank;
02.10.97;27.02.98;1998;intern;Diplom;DE;Untersuchung der Eignung eines objektorientierten Analyse-Modells bezüglich der Verifikation betrieblicher Anforderungen anhand eines Beispiels aus der Flugsicherung;
20.10.97;20.03.98;1998;intern;Diplom;DE;Konzeption einer Benutzer- und Rechteverwaltung zur Integration von Windows NT-Workstations in eine bestehende heterogene Infrastruktur;
20.10.97;15.01.98;1998;extern;Diplom;DE;Realisierung eines Windows 95-Treibers für den 3D-Steuergriff SpaceMaster;
20.10.97;20.03.98;1998;intern;Diplom;DE;Entwicklung einer PC-CD-ROM-Steuerung zur Sprachaudiometrie und Feinanpassung von Hörgeräten;
21.10.97;21.03.98;1998;intern;Diplom;DE;Entwurf und Implementierung der Datenreplikation für ein Vertriebsinformationssystem;
22.10.97;22.03.98;1998;intern;Diplom;DE;Dynamisierung von statischen  Intranet-Seiten mit Hilfe einer Datenbank-Anwendung;
29.10.97;29.03.98;1998;intern;Diplom;DE;Architektur eines komponentenbasierten Verschaltungseditors in der Automatisierungstechnik;
30.10.97;30.03.98;1998;intern;Diplom;DE;Visualisierung interner Abläufe im Echtzeit-Betriebssystem EUROSplus unter MS-Windows;
01.11.97;31.03.98;1998;extern;Diplom;DE;Konzeption und Realisierung eines Internet-Marketingsystems für den Geschäftsbereich Nutzlastentwicklung/Mikrogravitation der Daimler-Benz Aerospace AG;
01.11.97;31.03.98;1998;extern;Diplom;DE;Konzeption und Realisierung eines Internet-Marketingsystems für den Geschäftsbereich Nutzlastentwicklung/Mikrogravitation der Daimler-Benz AG;
03.11.97;03.04.98;1998;extern;Diplom;DE;Erstellung eines Sicherheitskonzeptes für das Projekt Internetserver ZKT (Zentrum für Kartenanwendungen Telekom);
13.11.97;13.04.98;1998;intern;Diplom;DE;Analyse und Grobkonzeption der Geschäftsprozesse des Customer Support eines IT Dienstleisters;
17.11.97;17.04.98;1998;intern;Diplom;DE;Schutz sensibler Firmendaten und die Sicherstellung ihrer Übertragung im Internet;
01.12.97;30.04.98;1998;intern;Diplom;DE;Abbildung zwischen objektorientierten Klassenmodellen und konzeptionellen Schemata relationaler Datenbanken im CASE-Werkzeug Innovator - Konzeption und Realisierung eines Werkzeugs;
01.12.97;30.04.98;1998;extern;Diplom;DE;Konzeption eines Werkzeuges und Realisierung eines Prototypen zum automatisierten Testen von OLE-Komponenten;
04.12.97;04.05.98;1998;intern;Diplom;DE;Entwicklung von Java-Beans zur Darstellung vorhandener Modelle des CAD-Systems I-DEAS auf Internet-Browsern mit VRML;
10.12.97;10.05.98;1998;extern;Diplom;DE;Erstellen einer Meß- und Steuersoftware für Impedanzspektrometrie an Brennstoffzellen;
08.01.98;08.06.98;1998;intern;Diplom;DE;Performancemessung und selektive Telegrammdarstellung auf dem PROFIBUS-DP;
15.01.98;15.06.98;1998;intern;Diplom;DE;Entwurf und Implementierung eines OSEK-konformen Echtzeitbetriebssystems für den Mikrocontroller SAB 80C167;
16.01.98;16.06.98;1998;intern;Diplom;DE;Verwaltung von Änderungen technischer Dokumente - Konzeption und Entwicklung eines Prototypen;
30.01.98;30.06.98;1998;intern;Diplom;DE;Konzeption eines Data Warehouse im Bereich Marktforschung;
16.03.98;15.08.98;1998;extern;Diplom;DE;Funktionskonzept und Datenmodell für die Jobverwaltung in einer Marketingagentur;
01.04.98;20.12.98;1998;intern;Diplom;DE;"Entwicklung von Lernsoftware zum Thema ""Numerische Mathematik für Informatiker""";
01.04.98;30.12.98;1998;intern;Diplom;DE;Objektorientierte Modellbildung in der Wirtschaftsinformatik;
01.04.98;30.12.98;1998;intern;Diplom;??;siehe lfd. Nr. 436;
01.04.98;31.08.98;1998;extern;Diplom;DE;Integration und Steuerung eines Spektralphotometers zur automatischen Durchführung biochemischer Analytik;
01.04.98;31.08.98;1998;extern;Diplom;DE;Entwickung, Realisierung und Test einer druckdichten Prozeßzelle für die Kristallisation von Zeolithen in einer neuartigen Mikrowellenheizanlage;
07.04.98;07.01.99;1998;intern;Diplom;DE;Konzeption eines Marketinginformationssystems für ein unternehmerweites Leistungsspektrum;
07.04.98;31.12.98;1998;extern;Diplom;DE;"""Konzeption und Implementation eines Funktionstabellen Editors für das ASIC Design""";
07.04.98;07.09.98;1998;intern;Diplom;DE;Entwurf und Realisierung eines Redaktionssystems für die automatisierte Erstellung von Internet-Seiten;
12.04.98;11.01.99;1998;intern;Diplom;DE;Die notwendige Schulung des Programmieranfängers vor dem Einstieg in die Syntax einer speziellen Programmiersprache anhand ausgewählter Beispiele - Unterweisung im Umgang mit den formalen Konstrukten;
30.04.98;30.09.98;1998;intern;Diplom;DE;Entwurf und Realisierung eines Sendungsverfolgungssystems unter besonderer Berücksichtigung offnerer Schnittstellen;
30.04.98;30.09.98;1998;intern;Diplom;DE;Entwurf und Teilimplementierung einer datenbankbasierten Intranetlösung zur projektorientierten Zeiterfassung;
30.04.98;30.09.98;1998;intern;Diplom;DE;Erkennung musikalischer Symbolschrift und Transformation nach MIDI;
30.04.98;30.09.98;1998;intern;Diplom;DE;Entwicklung der Software zur Verwaltung einer Milchviehherde und der Steuerung eines Fütterungsautomaten zur Verteilung von Kraftfutter;
01.05.98;03.09.98;1998;intern;Diplom;DE;Entwurf und Realisierung eines Entscheidungsunterstützungssystems. Teilweise Implementierung am Beispiel PC-Kauf.;
01.05.98;30.09.98;1998;extern;Diplom;DE;Verbesserung und Optimierung vorhandener Werkzeuge zur verfahrenstechnischen Planung von Kraftanlagen;
04.05.98;04.10.98;1998;intern;Diplom;DE;Internet fähige 3-Ebenen C/S Anwendung auf Basis des Framework FROC/S-Erarbeitung eines Konzepts und beispielhafte Implementierung;
11.05.98;10.10.98;1998;intern;Diplom;DE;Konzept zur Nutzung von Internet-Technologien und prototypische Realisierung eines Teilaspektes dieses Konzeptes, angewendet auf SGML-Datenbestände der Abteilung Informationsdienste der Fa. DATEV e.G.;
11.05.98;25.09.98;1998;intern;Diplom;DE;Untersuchung eines Debug-Systems für embedded Anwendungen unter Java;
15.06.98;16.11.98;1998;intern;Diplom;DE;DV-Konzept und Softwareauswahl für ein mittelständiges Unternehmen;
01.07.98;30.09.98;1998;intern;Diplom;DE;Vereinheitlichung der objektorientierten Modellierung UML - eine kritische Würdigung;
01.07.98;30.11.98;1998;intern;Diplom;DE;Reengineeringkonzept f. ein derz. Dateiorient. Informationssystem f. techn. Komponenten unter Einsatz e.geeign. Datenbanksystems m. Mehrbenutzerzugriff und Schnittstelle z. Internet;
07.07.98;07.12.98;1998;intern;Diplom;DE;Konzeption und Auswahl eines Management-Informations-Systems für ein Ingenieur-Büro;
15.07.98;15.12.98;1998;intern;Diplom;DE;Das Konzept des Passivhauses in Theorie;
20.07.98;20.12.98;1998;intern;Diplom;DE;Konzept für Backup und Recovery der Oracle-Datenbanken bei der Firma Bosch in Nürnberg;
31.07.98;30.12.98;1998;intern;Diplom;DE;Informationssicherheit in lokalen und globalen Netzen als Gegenstand des strategischen Informationsmanagements;
